Tên sản phẩm,Danh mục,Nền tảng,Link tiếp thị tham khảo,Khoảng giá,Tỷ lệ hoa hồng,Nỗi đau khách hàng,Cơ sở khoa học,Góc tiếp cận đề xuất,Điểm uy tín,Điểm khác biệt,Khả năng mua lại,Ghi chú
"Viên Ngậm Lợi Khuẩn Nha Khoa K12/M18",oral,Shopee,https://shopee.vn/search?keyword=men+vi+sinh+nha+khoa+k12,"350k - 900k VND",TBD,"Hơi thở có mùi dai dẳng dù đã đánh răng cạo lưỡi kỹ","Chủng lợi khuẩn K12 và M18 đã được chứng minh lâm sàng qua hơn 30 nghiên cứu độc lập trên PubMed.","Dừng ngay nước súc miệng diệt khuẩn nếu bạn không muốn hơi thở ngày càng tệ hơn...",4.8,5,5,"Sản phẩm trọng tâm cho định vị thương hiệu vi sinh"
"Dụng Cụ Cạo Lưỡi Thép Không Gỉ",oral,Shopee,https://shopee.vn/search?keyword=cao+luoi+inox+304,"100k - 250k VND",TBD,"Lớp bợn trắng dày trên lưỡi gây hôi miệng","Màng sinh học biofilm trên lưỡi là nơi trú ngụ của 90% vi khuẩn kỵ khí gây mùi.","Nhìn lớp bợn trắng này đi — đây chính là lý do bạn vẫn hôi miệng dù đánh răng ngày chục lần...",4.9,3,5,"Demo cạo bợn trắng lưỡi cực kỳ trực quan và giá rẻ"
"Máy Tăm Nước Cầm Tay Chuyên Dụng",oral,Shopee,https://shopee.vn/search?keyword=may+tam+nuoc+cam+tay,"400k - 1.8M VND",TBD,"Thức ăn thừa giắt kẽ răng sâu gây mùi hôi khó chịu","Tia nước siêu mảnh 0.6mm loại bỏ tới 99.9% mảng bám sinh học ở các kẽ răng khít.","Thử soi kẽ răng sau khi ăn xong đi, bạn sẽ sốc vì lượng thức ăn thừa đang thối rữa ở đó...",4.7,4,4,"Sản phẩm dễ demo và nhu cầu cao từ người dùng"
"Bộ Dụng Cụ Lấy Sỏi Amidan Có Đèn",oral,Shopee,https://shopee.vn/search?keyword=bo+lay+soi+amidan,"100k - 350k VND",TBD,"Hơi thở hôi từ cuống họng, cảm giác nuốt vướng","Sỏi amidan (tonsilloliths) chứa nồng độ vi khuẩn kỵ khí đậm đặc gấp 10 lần mảng bám răng.","Hãy soi đèn vào họng và tìm những đốm trắng vàng này, chúng là ổ mùi hôi họng của bạn đấy...",4.6,5,4,"Nội dung gây tò mò cao, cần khéo léo tránh phản cảm"
"Kẹo Ngậm Xylitol Nha Khoa Tự Nhiên",oral,Shopee,https://shopee.vn/search?keyword=keo+ngam+xylitol+nha+khoa,"100k - 300k VND",TBD,"Khô miệng, chua miệng và mùi cà phê sau khi ăn uống","Vi khuẩn Streptococcus mutans không thể chuyển hóa Xylitol thành axit phá hủy răng.","Mẹo 10 giây đánh bay mùi cà phê và khô miệng bằng chiết xuất gỗ bạch dương cực kỳ tiện lợi...",4.7,3,4,"Sản phẩm tiêu hao, khả năng mua lại cao"
"Bình Rửa Mũi Xoang & Muối Sinh Lý Ấm",air,Shopee,https://shopee.vn/search?keyword=binh+rua+mui+xoang,"100k - 250k VND",TBD,"Hắt hơi, nghẹt mũi dị ứng gây mất ngủ","Rửa mũi bằng nước muối đẳng trương loại bỏ các tác nhân dị ứng bám trên niêm mạc.","Cách rửa trôi hàng triệu hạt bụi bẩn bám sâu trong xoang mũi trước khi đi ngủ...",4.8,4,4,"Nhu cầu lớn vào mùa dị ứng, bụi mịn"
"Máy Lọc Không Khí HEPA Mini Phòng Ngủ",air,Shopee,https://shopee.vn/search?keyword=may+loc+khong+khi+hepa+mini,"700k - 2M VND",TBD,"Dị ứng bụi mịn và phấn hoa trong phòng kín","Màng lọc True HEPA H13 có khả năng giữ lại 99.97% các hạt bụi lơ lửng nhỏ tới 0.3 micromet.","Phòng ngủ đóng kín cửa của bạn trông có vẻ sạch, nhưng thực chất chứa lượng bụi mịn gấp 5 lần ngoài đường...",4.7,4,4,"Sản phẩm giá trị cao hơn, cần tập trung chất lượng không khí vùng thở"
"Chai Xịt Vi Sinh Kháng Ve Bụi Giường Nệm",home,Shopee,https://shopee.vn/search?keyword=xit+khang+ve+bui+vi+sinh,"100k - 350k VND",TBD,"Ngứa da, châm chích và dị ứng mẩn đỏ khi nằm giường","Lợi khuẩn Bacillus subtilis nảy mầm tiêu thụ tế bào da chết nhanh hơn ve bụi gấp hàng chục lần.","Hàng triệu sinh vật nhỏ bé này đang bò trên giường nệm ăn da chết của bạn mỗi tối...",4.8,4,4,"Giải pháp sinh học thông minh thay thế hóa chất diệt côn trùng độc hại"
"Máy Hút Bụi Giường Nệm Diệt Khuẩn UV-C",home,Shopee,https://shopee.vn/search?keyword=may+hut+bui+giuong+nem+uvc,"600k - 2M VND",TBD,"Bụi mịn và chất thải mạt nhà tích tụ sâu trong nệm","Lực rung đập tần số cao đánh bật bụi mịn kết hợp tia cực tím UV-C tiêu diệt vi khuẩn và mạt bụi.","Bạn sẽ sốc khi thấy đống bụi xám mịn như bột này được hút ra từ chiếc giường nhìn sạch bóng của mình...",4.9,5,5,"Góc quay lấy hộp bụi bẩn thỉu mang lại chuyển đổi cao nhất"
"Chai Xịt Khử Mùi Sinh Học Enzyme Tự Nhiên",home,Shopee,https://shopee.vn/search?keyword=xit+khu+mui+enzyme+sinh+hoc,"100k - 400k VND",TBD,"Mùi thú cưng, mùi giày ẩm mốc ám ảnh phòng kín","Enzyme Protease, Lipase, Amylase phân hủy trực tiếp các liên kết hữu cơ của phân tử mùi hôi.","Bí quyết khử mùi hôi thú cưng và giày ẩm mốc vĩnh viễn bằng công nghệ enzyme sinh học cực kỳ an toàn...",4.7,5,4,"Đánh trúng nỗi đau mùi hôi động vật hoặc ẩm mốc trong không gian kín"
